Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,tag
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,1.912568306010929,10045.69870808,10305.842758,80.94725192000001,0.4569870808000087,105.09539461049255,1.3622052919487926,6.11403740789472,1.3753389611476097,0.22279963321615465,0.3301528676753907,0.5396499957334001,-0.5253496100198888,0.009347095507473575,-2.52423849294674,-0.9719038116590828,57 days 16:00:00,11 days 20:00:00,2,50.0,2.8696748533047463,-2.332234087572855,0.23498053603872027,1 days 16:00:00,1 days,1.2304403184035455,0.26872038286594563,0.08724059247593452,0.08024037465089912,TriplePatternStrategy_9p,ETHUSDT_4h
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,2.0491803278688523,10216.40865398,10455.471253900001,81.28935602,2.164086539799991,105.09539461049255,6.55955213903805,7.947036115211616,6.624402160101739,0.8254086232831194,1.6148405081704187,2.8688389087678567,1.029462294347004,0.010796136687608081,-2.2864832594784223,-0.7923688273050566,31 days 20:00:00,5 days 15:00:00,2,50.0,4.590000000000004,-2.332234087572855,1.0696375613406195,1 days 20:00:00,1 days 02:00:00,1.9680700254136136,1.1288829562135747,0.3115883448873392,0.23756565549086484,TriplePatternStrategy_26p,ETHUSDT_4h
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,0.6830601092896175,9791.44058256,10277.836240000002,38.86813744,-2.085594174399994,105.09539461049255,-6.062834759004465,3.3903860953479463,-6.119078511684695,-1.7882431641999323,-1.6806582428716896,-1.2811138802347175,-2.6301869193617353,0.00518188972009788,-4.73247136928504,-4.73247136928504,38 days 04:00:00,38 days 04:00:00,1,0.0,-2.1277491403689903,-2.1277491403689903,-2.127749140368995,0 days 16:00:00,0 days 16:00:00,0.0,-2.1277491403689903,,,ButterflyStrategy_9p,ETHUSDT_4h
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,0.6830601092896175,9791.44058256,10277.836240000002,38.86813744,-2.085594174399994,105.09539461049255,-6.062834759004465,3.3903860953479463,-6.119078511684695,-1.7882431641999323,-1.6806582428716896,-1.2811138802347175,-2.6301869193617353,0.00518188972009788,-4.73247136928504,-4.73247136928504,38 days 04:00:00,38 days 04:00:00,1,0.0,-2.1277491403689903,-2.1277491403689903,-2.127749140368995,0 days 16:00:00,0 days 16:00:00,0.0,-2.1277491403689903,,,ButterflyStrategy_26p,ETHUSDT_4h
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,94.14324559837897,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,TriplePatternStrategy_9p,ETHUSDT_1d
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,94.14324559837897,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,TriplePatternStrategy_26p,ETHUSDT_1d
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,94.14324559837897,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_9p,ETHUSDT_1d
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,94.14324559837897,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_26p,ETHUSDT_1d
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,14.796944109368718,10896.733580640006,11237.374351560007,1666.4115793600001,8.96733580640006,108.39400264041588,34.78735677194849,30.84233571144165,29.306814436369155,1.1279092834413105,2.6676657838743503,3.325738676852461,10.31596319569158,-0.012441900441350337,-10.460039152827205,-2.8937681154157615,61 days 07:00:00,9 days 06:00:00,40,47.5,4.610000000000005,-2.404000000000002,0.2164306375551428,0 days 10:00:00,0 days 09:00:00,1.3320196355537093,0.23985055916831616,0.629714707211981,0.10899318778706824,TriplePatternStrategy_9p,ETHUSDT_1h
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,24.165661439485323,9844.27051252,11098.957736799997,1521.6475074799998,-1.557294874800009,108.39400264041588,-5.309876263210434,30.529268509554285,-4.588763762738568,-0.17392739893354084,-0.27262299038825655,-0.3206225113742705,-0.5049113420161766,-0.009708872328250382,-16.561146129293725,-2.763998077334425,97 days 02:00:00,10 days 22:00:00,38,34.21052631578947,4.610000000000015,-2.404000000000002,-0.04161388440245828,1 days 03:00:00,0 days 16:00:00,0.9949931928601502,-0.005804765344898383,-0.09373973938792407,-0.01245194766838248,TriplePatternStrategy_26p,ETHUSDT_1h
